ï¿½r;kvinnor
1860;1985329
1861;2013486
1862;2036377
1863;2064250
1864;2088590
1865;2112957
1866;2136940
1867;2155092
1868;2147738
1869;2144227
1870;2151872
1871;2169781
1872;2192918
1873;2215954
1874;2236721
1875;2256153
1876;2278387
1877;2304482
1878;2326571
1879;2350046
1880;2350425
1881;2356255
1882;2360772
1883;2372813
1884;2391510
1885;2408908
1886;2426849
1887;2438590
1888;2447153
1889;2459039
1890;2467794
1891;2476773
1892;2478982
1893;2487325
1894;2509018
1895;2530000
1896;2550564
1897;2571706
1898;2596280
1899;2610955
1900;2630005
1901;2649049
1902;2662932
1903;2676329
1904;2693877
1905;2710321
1906;2731531
1907;2751257
1908;2774834
1909;2798878
1910;2823674
1911;2843161
1912;2863455
1913;2881637
1914;2902160
1915;2918188
1916;2939616
1917;2959293
1918;2964645
1919;2978642
1920;3006233
1921;3028328
1922;3043489
1923;3057251
1924;3071888
1925;3081008
1926;3091743
1927;3097718
1928;3105628
1929;3112134
1930;3121343
1931;3125382
1932;3136836
1933;3144678
1934;3153400
1935;3160055
1936;3166354
1937;3173466
1938;3185214
1939;3198947
1940;3211304
1941;3225939
1942;3250444
1943;3282196
1944;3317625
1945;3353772
1946;3396991
1947;3434469
1948;3475241
1949;3505577
1950;3535387
1951;3563004
1952;3588131
1953;3608718
1954;3629651
1955;3656129
1956;3679074
1957;3702957
1958;3723636
1959;3739956
1960;3757848
1961;3778988
1962;3798896
1963;3821808
1964;3854303
1965;3890033
1966;3923918
1967;3950551
1968;3972078
1969;4007740
1970;4045318
1971;4066592
1972;4077814
1973;4089903
1974;4108883
1975;4127179
1976;4143597
1977;4162518
1978;4174933
1979;4187488
1980;4198115
1981;4204411
1982;4210127
1983;4214436
1984;4222072
1985;4231029
1986;4244002
1987;4261500
1988;4283008
1989;4314956
1990;4346613
1991;4373496
1992;4397428
1993;4424155
1994;4460127
1995;4471425
1996;4474782
1997;4475712
1998;4478703
1999;4481308
2000;4490039
2001;4500683
2002;4513681
2003;4529014
2004;4545081
2005;4561202
2006;4589734
2007;4619006
2008;4652637
2009;4691668
2010;4725326
2011;4756021
2012;4789988
2013;4830507
2014;4875115
2015;4920051
2016;4981806
2017;5037580
2018;5087747
2019;5131775
2020;5156448
2021;5191619
